"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","OBJECT_AGE","CENT_FOCUS_DIST"
5.98837202,0.4684315,64.7815,2.6054,278.7567,32.7983,12809.416,240.466,12431.615,430.947,"DEBRIS","SMALL",24,6000.333951004
14.63612283,0.0035533,98.3657,117.1235,119.4873,240.988,7059.671,98.387,706.621,656.451,"DEBRIS","SMALL",22,25.0851289643
14.66477243,0.003645,98.3086,114.0706,33.9782,326.3745,7050.474,98.195,698.038,646.64,"DEBRIS","SMALL",22,25.69897773
13.27992773,0.002735,52.0126,25.3346,172.0751,272.3716,7532.481,108.434,1174.947,1133.744,"DEBRIS","SMALL",25,20.601335535
12.25218172,0.0627532,59.3783,175.6565,145.1635,24.3261,7948.031,117.53,2068.66,1071.132,"DEBRIS","SMALL",59,498.7643789492
3.03331579,0.6589213,26.3019,188.3537,75.1746,345.0079,20158.432,474.728,27063.118,497.477,"DEBRIS","SMALL",59,13282.8202194016
2.7616229,0.6710131,26.3765,138.7496,42.523,357.5882,21459.796,521.433,29481.465,681.857,"DEBRIS","SMALL",59,14399.8042393276
13.50411789,0.0193876,83.1471,205.0752,15.442,105.9414,7448.881,106.634,1215.162,926.33,"DEBRIS","SMALL",43,144.4159252756
13.98793591,0.0036463,65.8167,158.3328,224.9813,197.5909,7276.113,102.946,924.509,871.447,"DEBRIS","SMALL",42,26.5308908319
12.69785218,0.0298981,82.6125,41.2496,130.6793,44.4283,7760.952,113.405,1614.855,1150.779,"DEBRIS","SMALL",33,232.0377189912
6.04211161,0.4688141,65.1277,226.6867,218.1605,97.1046,12733.35,238.327,12324.789,385.641,"DEBRIS","SMALL",32,5969.574020235
14.30954512,0.0110262,98.8254,267.5247,349.2837,10.5997,7166.679,100.632,867.565,709.523,"DEBRIS","SMALL",25,79.0212359898
14.22349226,0.0009792,98.6866,309.6304,24.448,335.7161,7195.556,101.241,824.467,810.375,"PAYLOAD","SMALL",21,7.0458884352
